Time;Passengers
1949;112
1949.083333;
1949.166667;
1949.25;129
1949.333333;
1949.416667;135
1949.5;
1949.583333;148
1949.666667;136
1949.75;119
1949.833333;104
1949.916667;118
1950;115
1950.083333;
1950.166667;
1950.25;135
1950.333333;125
1950.416667;149
1950.5;170
1950.583333;170
1950.666667;158
1950.75;133
1950.833333;114
1950.916667;
1951;
1951.083333;150
1951.166667;178
1951.25;
1951.333333;172
1951.416667;
1951.5;199
1951.583333;
1951.666667;184
1951.75;162
1951.833333;146
1951.916667;
1952;171
1952.083333;180
1952.166667;
1952.25;181
1952.333333;183
1952.416667;218
1952.5;230
1952.583333;242
1952.666667;
1952.75;191
1952.833333;172
1952.916667;
1953;
1953.083333;196
1953.166667;236
1953.25;235
1953.333333;
1953.416667;243
1953.5;
1953.583333;272
1953.666667;237
1953.75;211
1953.833333;180
1953.916667;201
1954;
1954.083333;
1954.166667;235
1954.25;227
1954.333333;
1954.416667;
1954.5;302
1954.583333;293
1954.666667;259
1954.75;229
1954.833333;
1954.916667;
1955;242
1955.083333;
1955.166667;
1955.25;269
1955.333333;
1955.416667;315
1955.5;364
1955.583333;347
1955.666667;
1955.75;
1955.833333;237
1955.916667;
1956;
1956.083333;
1956.166667;317
1956.25;
1956.333333;318
1956.416667;374
1956.5;
1956.583333;405
1956.666667;355
1956.75;306
1956.833333;271
1956.916667;306
1957;315
1957.083333;
1957.166667;356
1957.25;348
1957.333333;355
1957.416667;422
1957.5;465
1957.583333;
1957.666667;404
1957.75;347
1957.833333;305
1957.916667;
1958;
1958.083333;318
1958.166667;
1958.25;348
1958.333333;
1958.416667;435
1958.5;491
1958.583333;505
1958.666667;404
1958.75;
1958.833333;310
1958.916667;
1959;
1959.083333;342
1959.166667;
1959.25;396
1959.333333;420
1959.416667;
1959.5;548
1959.583333;559
1959.666667;
1959.75;407
1959.833333;
1959.916667;
1960;417
1960.083333;
1960.166667;
1960.25;
1960.333333;
1960.416667;
1960.5;622
1960.583333;606
1960.666667;
1960.75;461
1960.833333;390
1960.916667;
